batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,b_hit_rate,b_xba,b_hardhit,b_n_games,b_days_rest,platoon_adv,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_n_games,p_days_rest,is_opener,b_hit_rate_vs_L,b_hit_rate_vs_R
669016,Brandon Marsh,L,PHI,4,Cade Cavalli,R,676917,822717,PHI @ WSH,3:45 PM,25/06,Final,0.6654187219424617,,,,True,0111010111,live,1,0,0.0,0.2941769010608967,0.35599911567161113,0.4469973566274082,20,1,1,1.045,47.7,D,0.2974683544303797,2.688756314026489,0.41607460055767426,15,5,0,0.35365853658536583,0.30319148936170215
703607,Henry Bolte,R,ATH,1,Landen Roupp,R,694738,823209,ATH @ SF,12:45 PM,25/06,Final,0.6643106079952505,-231,171,,True,1101111101,live,0,0,0.0,0.3523249243414182,0.4579473661982312,0.5777524657564993,20,1,0,1.005,70.6,B,0.2923611111111111,2.618177948894426,0.307592833845339,15,6,0,0.3111111111111111,0.3055555555555556
693307,Dillon Dingler,R,DET,3,Tatsuya Imai,R,837227,824258,HOU @ DET,3:40 PM,25/06,Final,0.6643106079952505,-224,166,,True,1101111010,live,0,0,0.0,0.3389003065945129,0.38412302790330594,0.4648385003667383,20,1,0,1.0,44.0,D,0.29770992366412213,1.6031880921105457,0.3896381136015484,10,6,0,0.26666666666666666,0.26380368098159507
672695,Geraldo Perdomo,L,AZ,2,Michael Mcgreevy,R,700241,823042,AZ @ STL,4:45 PM,25/06,Postponed,0.6625715980166472,-235,174,,False,1111001001,estimated,0,0,0.0,0.22567413230192876,0.27444632116179785,0.3377384911369453,20,1,1,1.035,39.8,D,0.24905087319665908,2.5218931841461534,0.4110218604499318,15,6,0,0.2972972972972973,0.20212765957446807
808982,Jung Hoo Lee,L,SF,6,Jeffrey Springs,L,605488,823209,ATH @ SF,12:45 PM,25/06,Final,0.6624326543788056,-250,185,,True,0011011011,live,0,0,0.0,0.3896043870111898,0.2974930851291664,0.3263935419076406,20,1,0,1.005,53.1,C,0.28062678062678065,2.5504804326098935,0.37776871049566996,16,6,0,0.32,0.3425925925925926
596117,Garrett Stubbs,L,PHI,2,Cade Cavalli,R,676917,822717,PHI @ WSH,3:45 PM,25/06,Final,0.6617533431958577,,,,False,010110000,live,0,0,0.0,0.12197849344871467,0.2721613715856663,0.39184692246166286,9,8,1,1.045,47.7,D,0.2974683544303797,2.688756314026489,0.41607460055767426,15,5,0,,0.16666666666666666
670623,Isaac Paredes,R,HOU,3,Troy Melton,R,675512,824258,HOU @ DET,3:40 PM,25/06,Final,0.6614634840694361,-199,149,,False,0111111111,live,0,0,0.0,0.32226775705564176,0.31575078948235413,0.3811500601308891,20,1,0,1.0,59.0,C,0.2465437788018433,2.180120219729998,0.36536523067016957,5,5,0,0.23076923076923078,0.25925925925925924
701807,Carson Benge,L,NYM,1,Matt Boyd,L,571510,823612,CHC @ NYM,4:10 PM,25/06,Final,0.6614634840694361,-178,133,,True,1101111101,live,0,0,0.0,0.26715364773254535,0.3748225037130387,0.37082478532068136,20,1,0,0.935,62.7,C,0.29427792915531337,,,4,53,0,0.3469387755102041,0.23706896551724138
679845,Nick Loftin,R,KC,2,Casey Legumina,R,668984,822961,KC @ TB,9:10 AM,25/06,Final,0.6613245404315945,-160,120,,False,0110101110,live,0,0,0.0,0.27909410752451047,0.36155330781586337,0.33776560355274504,20,1,0,0.955,57.2,C,0.2601279317697228,3.217419576906167,0.2784706488184316,20,8,0,0.3287671232876712,0.16071428571428573
802415,Chandler Simpson,L,TB,5,Seth Lugo,R,607625,822961,KC @ TB,9:10 AM,25/06,Final,0.6584774165057802,-273,200,,True,1100111101,live,0,0,0.0,0.2083981425540642,0.27337809864018253,0.04432479588679276,20,1,1,0.955,34.0,F,0.2593144560357675,2.1687084084125483,0.44911204837285496,15,6,0,0.15625,0.2980769230769231
701762,Nick Kurtz,L,ATH,2,Landen Roupp,R,694738,823209,ATH @ SF,12:45 PM,25/06,Final,0.6584659130471932,-178,134,60.0,False,1111101100,live,0,0,0.0,0.2432924324023511,0.4499076846161792,0.6682688181004927,20,1,1,1.005,70.6,B,0.2923611111111111,2.618177948894426,0.307592833845339,15,6,0,0.2808988764044944,0.2828282828282828
668942,Josh Rojas,L,KC,5,Casey Legumina,R,668984,822961,KC @ TB,9:10 AM,25/06,Final,0.6582040531138437,,,,False,1011,live,0,0,0.0,,,,4,1,1,0.955,57.2,C,0.2601279317697228,3.217419576906167,0.2784706488184316,20,8,0,,0.42857142857142855
592626,Joc Pederson,L,TEX,1,Kevin Gausman,R,592332,822797,TEX @ TOR,4:07 PM,25/06,Final,0.6572730311223522,-163,123,,True,0110000111,live,0,0,0.0,0.22735866839673602,0.340773420067948,0.55758699782255,20,1,1,0.985,72.1,B,0.2847411444141689,3.6610490761628847,0.36977553432188115,16,6,0,0.0,0.24878048780487805
695506,Jac Caglianone,L,KC,3,Casey Legumina,R,668984,822961,KC @ TB,9:10 AM,25/06,Final,0.6565524957330334,-188,141,,False,1101111010,live,0,0,0.0,0.31726568128285665,0.5168578445085862,0.6486704105786042,20,1,1,0.955,57.2,C,0.2601279317697228,3.217419576906167,0.2784706488184316,20,8,0,0.2909090909090909,0.26732673267326734
676391,Ernie Clement,R,TOR,2,Mackenzie Gore,L,669022,822797,TEX @ TOR,4:07 PM,25/06,Final,0.6561649171751411,,,,True,1111001010,live,0,0,0.0,0.22233045465125548,0.2359070284425827,0.1771492851576938,20,1,1,0.985,45.1,D,0.2752420470262794,2.330534987789705,0.4446045651777044,16,5,0,0.2608695652173913,0.3054187192118227
691406,Junior Caminero,R,TB,3,Seth Lugo,R,607625,822961,KC @ TB,9:10 AM,25/06,Final,0.6561649171751411,,,,True,1101110010,live,0,0,0.0,0.2833723762022713,0.35136560436562897,0.6078901355079824,20,1,0,0.955,34.0,F,0.2593144560357675,2.1687084084125483,0.44911204837285496,15,6,0,0.26436781609195403,0.2835820895522388
805811,Bryce Eldridge,L,SF,2,Jeffrey Springs,L,605488,823209,ATH @ SF,12:45 PM,25/06,Final,0.6556187891213788,-194,145,,False,1111101000,live,0,0,0.0,0.26697277097469585,0.26487200945030953,0.4757681946888815,20,1,0,1.005,53.1,C,0.28062678062678065,2.5504804326098935,0.37776871049566996,16,6,0,0.2916666666666667,0.2830188679245283
668804,Bryan Reynolds,L,PIT,3,Bryce Miller,R,682243,823366,SEA @ PIT,9:35 AM,25/06,Final,0.6550479379768284,-185,139,,True,1111111111,live,0,0,0.0,0.39546336150059236,0.39086189794258525,0.687927026701161,20,1,1,1.01,90.4,A,0.28647686832740216,10.920994854721954,0.2734544422656203,7,6,0,0.30303030303030304,0.28703703703703703
663743,Nick Fortes,R,TB,1,Seth Lugo,R,607625,822961,KC @ TB,9:10 AM,25/06,Final,0.6537868768807135,,,,True,1111000001,live,0,0,0.0,0.21171196287026484,0.22256253016880542,0.23702221845274618,20,1,0,0.955,34.0,F,0.2593144560357675,2.1687084084125483,0.44911204837285496,15,6,0,0.2641509433962264,0.19117647058823528
678554,Curtis Mead,R,WSH,2,Cristopher Sánchez,L,650911,822717,PHI @ WSH,3:45 PM,25/06,Final,0.6535664281693775,-217,161,,True,0110010101,live,3,1,0.3333333333333333,0.17464204190352764,0.3202850739662702,0.38128590841888027,20,1,1,1.045,78.7,B,0.3312586445366528,6.020871680320189,0.41942884164568683,15,5,0,0.2336448598130841,0.2127659574468085
607043,Brandon Nimmo,L,TEX,4,Kevin Gausman,R,592332,822797,TEX @ TOR,4:07 PM,25/06,Final,0.6535664281693775,-209,156,61.0,False,1011111110,live,0,0,0.0,0.3157570979508185,0.41790488776061857,0.5707941337698332,20,1,1,0.985,72.1,B,0.2847411444141689,3.6610490761628847,0.36977553432188115,16,6,0,0.26785714285714285,0.27049180327868855
642708,Amed Rosario,R,NYY,3,Connelly Early,L,813349,824747,NYY @ BOS,4:10 PM,25/06,Final,0.6531788496114851,-235,174,,True,0101001011,live,1,0,0.0,0.17556718645626743,0.2955851073780303,0.3282337029004159,20,3,1,1.07,61.0,C,0.28102189781021897,2.5824408155166583,0.40264786695100463,15,5,0,0.24468085106382978,0.2608695652173913
665489,Vladimir Guerrero,R,TOR,3,Mackenzie Gore,L,669022,822797,TEX @ TOR,4:07 PM,25/06,Final,0.6531788496114851,-241,178,67.0,False,1101101110,live,0,0,0.0,0.21662410875777477,0.2830303376796058,0.366770541697145,20,1,1,0.985,45.1,D,0.2752420470262794,2.330534987789705,0.4446045651777044,16,5,0,0.2638888888888889,0.2815533980582524
681082,Bryson Stott,L,PHI,6,Cade Cavalli,R,676917,822717,PHI @ WSH,3:45 PM,25/06,Final,0.6531788496114851,-230,170,,False,1011111011,live,0,0,0.0,0.2930972379807195,0.32840451451988034,0.3287440556364048,20,1,1,1.045,47.7,D,0.2974683544303797,2.688756314026489,0.41607460055767426,15,5,0,0.2708333333333333,0.22926829268292684
680700,Richie Palacios,L,TB,4,Seth Lugo,R,607625,822961,KC @ TB,9:10 AM,25/06,Final,0.6518905447654224,-180,135,,True,1010111011,live,0,0,0.0,0.19271581036025542,0.3035977402274054,0.31639460291657323,20,2,1,0.955,34.0,F,0.2593144560357675,2.1687084084125483,0.44911204837285496,15,6,0,0.2857142857142857,0.23648648648648649
656305,Matt Chapman,R,SF,1,Jeffrey Springs,L,605488,823209,ATH @ SF,12:45 PM,25/06,Final,0.6514910224349653,-219,163,,True,0110000010,live,3,1,0.3333333333333333,0.1999240309996298,0.32563012481233045,0.4299237068863234,20,1,1,1.005,53.1,C,0.28062678062678065,2.5504804326098935,0.37776871049566996,16,6,0,0.2898550724637681,0.22790697674418606
701675,Nathan Church,L,STL,7,Zac Gallen,R,668678,823042,AZ @ STL,4:45 PM,25/06,Postponed,0.6494595119561118,-170,128,,False,1101111100,estimated,0,0,0.0,0.3138585093194684,0.2760608041478025,0.20874003612822647,20,1,1,1.035,32.5,F,0.26026336173508907,2.210234324548567,0.41462842103626146,15,5,0,0.21739130434782608,0.2611464968152866
700250,Ben Rice,L,NYY,2,Connelly Early,L,813349,824747,NYY @ BOS,4:10 PM,25/06,Final,0.6487188965163067,-229,170,,False,1111101001,live,0,0,0.0,0.2586805162501037,0.30811960547427275,0.3477624227021355,20,1,0,1.07,61.0,C,0.28102189781021897,2.5824408155166583,0.40264786695100463,15,5,0,0.2553191489361702,0.30337078651685395
