batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,b_hit_rate,b_xba,b_hardhit,b_babip,b_n_games,b_days_rest,split_diff,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_n_games,p_days_rest,is_opener,b_hit_rate_vs_L,b_hit_rate_vs_R,p_use_fb,p_use_bb,p_use_os,b_hr_vs_fb,b_hr_vs_bb,b_hr_vs_os,b_hr_overall
668227,Randy Arozarena,R,SEA,4,Ryan Johnson,R,696270,823121,LAA @ SEA,6:40 PM,29/06,Final,0.631357555780285,,,,False,1001001110,live,0,0,0.0,0.2534772559736314,0.29118174546959286,0.3821549302171249,0.27780839047558176,20,1,0.011432160804020097,0.906,48.2,D,0.25501432664756446,1.6424905969147139,0.346069128858825,6,6,0,0.275,0.2864321608040201,0.5730659025787965,0.16045845272206305,0.2664756446991404,0.24822695035460993,0.23342541436464087,0.25,0.24436741767764297
592885,Christian Yelich,L,MIL,5,Nick Lodolo,L,666157,823771,CIN @ MIL,4:40 PM,29/06,Final,0.6289802664475189,,,,False,0111000101,live,0,0,0.0,0.20968947565808446,0.3696368274270926,0.5217428437324783,0.3826507891897389,20,1,0.011494252873563204,0.97,36.9,D,0.26838235294117646,2.397078293870617,0.42750371788866237,9,6,0,0.26666666666666666,0.25517241379310346,0.5073529411764706,0.25735294117647056,0.23529411764705882,0.23076923076923078,0.22064777327935223,0.3048780487804878,0.23699763593380616
518692,Freddie Freeman,L,LAD,3,Gage Jump,L,695611,824986,LAD @ ATH,6:40 PM,29/06,Final,0.6286404357114598,,,,True,1001111110,live,0,0,0.0,0.34618619655424676,0.41532966345827727,0.4939471335015568,0.4333067174636141,20,1,0.06654970760233919,0.977,74.3,B,0.28284671532846717,3.809797328479531,0.35861653112040626,6,5,0,0.34210526315789475,0.27555555555555555,0.48722627737226276,0.42883211678832117,0.08394160583941605,0.2924731182795699,0.2823086574654956,0.31105990783410137,0.2924600152322925
687263,Zach Neto,R,LAA,1,George Kirby,R,669923,823121,LAA @ SEA,6:40 PM,29/06,Final,0.628187259204075,,,,True,0111110100,live,0,0,0.0,0.18189663098699055,0.3218452213872521,0.5352607517316851,0.3995338122109584,20,1,0.0203299369238234,0.906,49.5,D,0.2643290627107215,3.770937951696115,0.4226705923947584,16,6,0,0.2111111111111111,0.2314410480349345,0.5404858299595142,0.39271255060728744,0.06680161943319839,0.23868613138686132,0.19959677419354838,0.2300469483568075,0.22424892703862662
672960,Kazuma Okamoto,R,TOR,4,Sean Manaea,L,640455,822792,NYM @ TOR,4:07 PM,29/06,Final,0.6280249922280898,,,,False,1011101100,live,0,0,0.0,0.26015802778428515,0.33376253862044564,0.4602593165893266,0.40870705128717477,20,1,-0.009033423667569984,0.995,51.3,C,0.27761767531219983,3.165688511037725,0.43808917309220724,17,5,0,0.23170731707317074,0.24074074074074073,0.6340057636887608,0.32372718539865514,0.04226705091258405,0.2132404181184669,0.25217391304347825,0.2463768115942029,0.23015571591340675
687515,Colby Thomas,R,ATH,5,Eric Lauer,L,641778,824986,LAD @ ATH,6:40 PM,29/06,Final,0.6244886127096886,,,,True,0000000010,live,0,0,0.0,0.09675291378683078,0.21074615729875149,0.2841287106750144,0.14506826529236264,20,1,0.0,0.977,46.2,D,0.24347826086956523,1.688621912869526,0.3864173845297393,13,7,0,0.2112676056338028,,0.6373307543520309,0.19729206963249515,0.1653771760154739,0.18120805369127516,0.19886363636363635,0.10365853658536585,0.16614420062695925
646240,Rafael Devers,L,SF,4,Eduardo Rodríguez,L,593958,825065,SF @ AZ,6:40 PM,29/06,Final,0.6227609441439075,,,,True,1100110111,live,0,0,0.0,0.26568527910355005,0.31871170207085064,0.5605957415038048,0.3814119548564729,20,1,-0.052138773901044766,1.0,45.4,D,0.25862068965517243,1.7257556986270919,0.37822304766151166,16,6,0,0.20224719101123595,0.2543859649122807,0.6025215660252157,0.12408759124087591,0.2733908427339084,0.23076923076923078,0.2111692844677138,0.24846625766871167,0.23024054982817868
666971,Lourdes Gurriel,R,AZ,5,Tyler Mahle,R,641816,825065,SF @ AZ,6:40 PM,29/06,Final,0.6206431681952123,,,,True,1101001101,live,3,0,0.0,0.23990466764716376,0.2810893629481813,0.3533473930547203,0.2832619049364226,20,1,-0.00931160625207847,1.0,49.6,D,0.2777242044358727,2.4015006860837493,0.39985142866301726,12,5,0,0.22580645161290322,0.21649484536082475,0.6447876447876448,0.10714285714285714,0.24806949806949807,0.17857142857142858,0.15555555555555556,0.30128205128205127,0.19486581096849476
545341,Randal Grichuk,R,CWS,5,Shane Baz,R,669358,824822,CWS @ BAL,3:35 PM,29/06,Final,0.6206431681952123,,,,True,0101001110,live,0,0,0.0,0.240448138756772,0.37625803373464417,0.4892066216253696,0.3296976509117263,20,2,-0.16363636363636364,1.044,45.5,D,0.26053143227478937,2.472775049423403,0.4082324732358783,16,6,0,0.3,0.13636363636363635,0.5919165580182529,0.3318122555410691,0.07627118644067797,0.2328767123287671,0.27319587628865977,0.2867647058823529,0.2526041666666667
664023,Ian Happ,L,CHC,5,Griffin Canning,R,656288,824662,SD @ CHC,5:05 PM,29/06,Final,0.6115345040571247,,,,False,1111111010,live,0,0,0.0,0.18793899010463552,0.34586138811313166,0.3939639868344349,0.3363805867012599,20,1,-0.004592287312334409,0.983,14.2,F,0.26246719160104987,1.5920568684322274,0.5747668245492382,10,6,0,0.22784810126582278,0.22325581395348837,0.42650918635170604,0.34120734908136485,0.23228346456692914,0.21387755102040817,0.2231833910034602,0.19930675909878684,0.21508962067528137
673548,Seiya Suzuki,R,CHC,4,Griffin Canning,R,656288,824662,SD @ CHC,5:05 PM,29/06,Final,0.6115345040571247,,,,True,1111100111,live,0,0,0.0,0.3448545786460409,0.47019667008261445,0.41557531277659615,0.5001347119653817,20,1,0.0065934065934066255,0.983,14.2,F,0.26246719160104987,1.5920568684322274,0.5747668245492382,10,6,0,0.2571428571428571,0.26373626373626374,0.42650918635170604,0.34120734908136485,0.23228346456692914,0.263254113345521,0.19151515151515153,0.3287671232876712,0.2404635441815548
668904,Royce Lewis,R,MIN,5,Peter Lambert,R,663567,824176,MIN @ HOU,5:10 PM,29/06,Final,0.6113836259243292,,,,True,0111111101,live,0,0,0.0,0.2686743718524259,0.31591770451951323,0.40759922977315105,0.34444078553332225,20,1,0.02757142857142858,0.998,62.1,C,0.2663716814159292,2.2640438296452823,0.3809445928756454,12,6,0,0.19642857142857142,0.224,0.5110717449069974,0.2683790965456156,0.22054915854738708,0.18075801749271136,0.254278728606357,0.21014492753623187,0.20776071139854488
699013,Esmerlyn Valdez,R,PIT,5,Aaron Nola,R,605400,823444,PIT @ PHI,3:40 PM,29/06,Final,0.6112411502083556,,,,True,0000110111,live,0,0,0.0,0.3266360063087966,0.37705384106580925,0.6956334032427285,0.5099089465928391,15,1,-0.05411764705882355,1.009,61.6,C,0.29797627355198886,3.011166101620146,0.4080942044722728,16,5,0,0.29411764705882354,0.24,0.5286312849162011,0.3470670391061452,0.12430167597765363,0.26424870466321243,0.2441860465116279,0.23529411764705882,0.2545454545454545
