batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,b_hit_rate,b_xba,b_hardhit,b_babip,b_n_games,b_days_rest,split_diff,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_n_games,p_days_rest,is_opener,b_hit_rate_vs_L,b_hit_rate_vs_R,p_use_fb,p_use_bb,p_use_os,b_hr_vs_fb,b_hr_vs_bb,b_hr_vs_os,b_hr_overall,b_hit_rate_vs_sp,b_pa_vs_sp,b_hit_rate_vs_rp,b_pa_vs_rp,b_is_rookie,p_is_rookie,base_p_hit,matchup_delta,b_avg_ab,b_avg_pa,b_games_played,p_multihit,base_p_multihit,p_multihit_matchup_delta,p_hrRbi,base_p_hrRbi,p_hrRbi_matchup_delta,b_quality_first3,b_n_games_first3,lean_tag
687263,Zach Neto,R,LAA,1,Kyle Leahy,R,681517,824006,STL @ LAA,7:10 PM,20/07,Pre-Game,0.6466875514339696,,,,False,1011110101,live,0,0,0.0,0.25563428145519046,0.3165925197716238,0.382063550483436,0.3991588390633885,20,1,-0.016666666666666663,0.979,43.7,D,0.26576271186440675,2.553875359142591,0.507010875718388,18,10,0,0.25,0.23333333333333334,0.4158751696065129,0.45047489823609227,0.13364993215739485,0.24784747847478475,0.21836228287841192,0.24744027303754265,0.2379702537182852,0.23770491803278687,275,0.23880597014925373,156,False,False,0.644974760057007,0.0017127913769625636,3.9375,4.489583333333333,96,0.24999897472960486,0.24963013795459563,0.00036883677500923473,0.5359236772388266,0.4986136614548234,0.037310015784003225,0.04118189351604606,20,LEAN
671056,Iván Herrera,R,STL,2,José Soriano,R,667755,824006,STL @ LAA,7:10 PM,20/07,Pre-Game,0.644811359138164,,,,False,0100110001,live,0,0,0.0,0.18177743878609645,0.217971996997323,0.19407979957485122,0.19347773865019585,20,1,0.035700934579439264,0.979,55.9,C,0.30095990965556185,2.0090493986366282,0.36349841489186013,19,8,0,0.22429906542056074,0.26,0.4906832298136646,0.3026538678712592,0.20666290231507622,0.22289890377588306,0.2160427807486631,0.254278728606357,0.22504173622704507,0.2350230414746544,262,0.2714285714285714,172,False,False,0.6717172804359309,-0.02690592129776692,3.6804123711340204,4.474226804123711,97,0.26825968565275166,0.2717363205490959,-0.003476634896344255,0.4854203070338998,0.49127343644055993,-0.005853129406660107,-0.03252416959980328,20,NEUTRAL
672960,Kazuma Okamoto,R,TOR,5,Nick Martínez,R,607259,822788,TB @ TOR,4:07 PM,20/07,Pre-Game,0.643797524595096,-150.0,186.0,60.0,False,0111101000,live,2,0,0.0,0.19834922895298404,0.24361184731128235,0.3439011200954942,0.27604639502255546,20,1,0.015741015741015746,0.995,61.6,C,0.26230613621038434,3.200606905623177,0.3481129200149739,18,10,0,0.21978021978021978,0.23552123552123552,0.6229729729729729,0.09662162162162162,0.28040540540540543,0.20524781341107873,0.24597918637653737,0.24148606811145512,0.22272433828276308,0.24401913875598086,238,0.2127659574468085,157,True,False,0.5965668241809868,0.04723070041410915,3.6842105263157894,4.157894736842105,95,0.23657440322836207,0.1936556121912998,0.04291879103706228,0.48363182334986216,0.4288781946324322,0.05475362871742995,-0.08226455382237702,20,LEAN
645277,Ozzie Albies,L,ATL,2,Jp Sears,L,676664,824898,SD @ ATL,4:15 PM,20/07,Pre-Game,0.6408705601145849,-233.0,245.0,70.0,False,1111001100,live,1,0,0.0,0.18630941986087093,0.22446788780011354,0.22062410759782441,0.25604079375193756,20,1,0.07856630824372762,1.018,50.9,C,0.25308641975308643,,,4,10,0,0.3096774193548387,0.2311111111111111,0.49691358024691357,0.26851851851851855,0.2345679012345679,0.2552710843373494,0.2503209242618742,0.24050632911392406,0.25127458120903134,0.27312775330396477,253,0.24836601307189543,172,False,False,0.6583119055503145,-0.017441345435729616,3.877551020408163,4.336734693877551,98,0.2558578703738867,0.2565579242001317,-0.0007000538262449951,0.49570235683239994,0.48682937323062886,0.008872983601771078,-0.03492924896519245,20,NEUTRAL
605141,Mookie Betts,R,LAD,5,Cristopher Sánchez,L,650911,823436,LAD @ PHI,4:10 PM,20/07,Pre-Game,0.6406781628700897,-203.0,212.0,67.0,False,1001110000,live,0,0,0.0,0.18259572279569428,0.23582292549125286,0.3350763634244461,0.19811796316596725,20,1,0.030158730158730163,1.009,73.7,B,0.32819383259911894,5.436223427459754,0.4365673927677841,19,9,0,0.24444444444444444,0.21428571428571427,0.42015418502202645,0.183920704845815,0.3959251101321586,0.2122905027932961,0.23161764705882354,0.23557692307692307,0.22070098576122674,0.22377622377622378,157,0.22772277227722773,110,False,False,0.6354444225057542,0.0052337403643355485,3.935483870967742,4.306451612903226,62,0.22870828340106195,0.22283425313513813,0.005874030265923813,0.4321534971823274,0.441201299566345,-0.009047802384017645,-0.00033828766112021727,20,AVOID
664040,Brandon Lowe,L,PIT,2,Ryan Weathers,L,677960,823522,PIT @ NYY,4:05 PM,20/07,Pre-Game,0.6404531142502697,-170.0,178.0,63.0,False,1111011101,live,0,0,0.0,0.2619418406805579,0.3539904512024369,0.4311931029788006,0.4128482140421171,20,2,-0.03027087123509198,1.007,63.1,C,0.30778739184178,4.039901590512938,0.4140719587655675,18,10,0,0.22058823529411764,0.2508591065292096,0.45083487940630795,0.3129251700680272,0.23623995052566482,0.24585635359116023,0.23303834808259588,0.23660714285714285,0.24117848578280232,0.24880382775119617,238,0.24,169,False,False,0.6351938305301615,0.005259283720108199,3.9450549450549453,4.472527472527473,91,0.23749219481467732,0.24760336239172584,-0.010111167577048524,0.48010184729888833,0.4841423648905731,-0.004040517591684778,-0.011880876220818995,20,NEUTRAL
671739,Michael Harris,L,ATL,5,Jp Sears,L,676664,824898,SD @ ATL,4:15 PM,20/07,Pre-Game,0.6402206877487732,-194.0,233.0,66.0,False,1111010111,live,1,0,0.0,0.2746539369465435,0.3091360721174981,0.5305367410486405,0.3574745971114884,20,1,-0.014010189228529812,1.018,50.9,C,0.25308641975308643,,,4,10,0,0.2916666666666667,0.3056768558951965,0.49691358024691357,0.26851851851851855,0.2345679012345679,0.28,0.24864864864864866,0.3333333333333333,0.27967549103330486,0.2925531914893617,202,0.3105590062111801,170,False,False,0.6308764768656727,0.009344210883100446,3.7934782608695654,4.043478260869565,92,0.2466816793881799,0.24254835391651905,0.0041333254716608425,0.4806020418582002,0.45866866492775143,0.021933376930448778,0.12547263985305868,20,NEUTRAL
681624,Andy Pages,R,LAD,2,Cristopher Sánchez,L,650911,823436,LAD @ PHI,4:10 PM,20/07,Pre-Game,0.6401256550331427,-194.0,212.0,66.0,False,1001110101,live,0,0,0.0,0.235508899224939,0.31804088468924985,0.4338682710947763,0.3272683117232449,20,1,0.008906633906633932,1.009,73.7,B,0.32819383259911894,5.436223427459754,0.4365673927677841,19,9,0,0.2702702702702703,0.26136363636363635,0.42015418502202645,0.183920704845815,0.3959251101321586,0.2598337950138504,0.22802850356294538,0.2540192926045016,0.25134952766531715,0.22641509433962265,236,0.3128834355828221,185,False,False,0.6348217570960254,0.0053038979371172745,3.865979381443299,4.34020618556701,97,0.24950274988998858,0.24922120780428614,0.0002815420857024409,0.4871996928000435,0.4892969377221421,-0.002097244922098618,0.21406916350344685,20,AVOID
676475,Alec Burleson,L,STL,3,José Soriano,R,667755,824006,STL @ LAA,7:10 PM,20/07,Pre-Game,0.6391715451620156,,,,False,0011001111,live,0,0,0.0,0.24940336972055913,0.36673670998371716,0.47708724807375363,0.3074492756590853,20,1,0.007546432062561115,0.979,55.9,C,0.30095990965556185,2.0090493986366282,0.36349841489186013,19,8,0,0.26881720430107525,0.27636363636363637,0.4906832298136646,0.3026538678712592,0.20666290231507622,0.29390934844192634,0.24058323207776428,0.3333333333333333,0.28499095840867994,0.27149321266968324,240,0.2789115646258503,167,False,False,0.6592324543936173,-0.020060909231601753,3.8333333333333335,4.239583333333333,96,0.2521537933164832,0.2591248977918697,-0.006971104475386514,0.5069443795581444,0.5136331151391688,-0.006688735581024341,0.04091762614806742,20,NEUTRAL
668715,Spencer Steer,R,CIN,4,George Kirby,R,669923,823112,CIN @ SEA,6:40 PM,20/07,Pre-Game,0.6391571231867371,-156.0,178.0,61.0,False,1110101110,live,0,0,0.0,0.26164476098936684,0.30361640262125184,0.5311815593386948,0.32930925726693233,20,1,-0.09828807556080285,0.906,49.1,D,0.2660275614140204,4.539359311064692,0.4332941456735525,18,12,0,0.32142857142857145,0.2231404958677686,0.5299760191846523,0.4010791366906475,0.06894484412470024,0.23593073593073594,0.22162162162162163,0.2631578947368421,0.23436853002070393,0.24731182795698925,215,0.25,152,False,False,0.6523931798748409,-0.013236056688103792,3.5434782608695654,3.989130434782609,92,0.23627308585966852,0.2483034162179709,-0.012030330358302366,0.4517595513118966,0.4832485898621826,-0.03148903855028601,-0.058623966678318117,20,LEAN
