batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,b_hit_rate,b_xba,b_hardhit,b_n_games,b_days_rest,split_diff,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_n_games,p_days_rest,is_opener,b_hit_rate_vs_L,b_hit_rate_vs_R
682928,Cj Abrams,L,WSH,4,Brandon Young,R,687064,824825,WSH @ BAL,4:05 PM,27/06,Final,0.6330882023365084,-192,144,61.0,False,0111111100,live,1,1,1.0,0.23946000802920242,0.24353712296133215,0.3649319037725759,20,1,0.028723194963604204,1.044,45.2,D,0.2576045627376426,1.922273710885961,0.4187642495448673,12,6,0,0.2608695652173913,0.2895927601809955
672695,Geraldo Perdomo,L,AZ,2,Cole Sulser,R,642121,822960,AZ @ TB,3:10 PM,27/06,Final,0.6330882023365084,-152,115,55.0,True,1110010011,live,0,0,0.0,0.25023002267373556,0.2897950407570461,0.3302926905801034,20,1,-0.08896396396396397,0.96,60.0,C,0.24475524475524477,7.388372785592618,0.3431891995012669,20,3,0,0.2972972972972973,0.20833333333333334
673237,Yainer Diaz,R,HOU,6,Framber Valdez,L,664285,824257,HOU @ DET,10:10 AM,27/06,Final,0.6324953090501412,-215,160,,True,1101110111,live,1,1,1.0,0.284058685100302,0.36763958676423064,0.3397837347625598,20,1,-0.06540027137042062,1.004,48.5,D,0.28153310104529616,2.1976084298266216,0.4374103267062409,16,5,0,0.21818181818181817,0.2835820895522388
606466,Ketel Marte,L,AZ,1,Cole Sulser,R,642121,822960,AZ @ TB,3:10 PM,27/06,Final,0.632293855182506,-226,167,65.0,True,1111011110,live,0,0,0.0,0.26717085668305485,0.2970231640211932,0.4833067542510711,20,1,0.024434389140271462,0.96,60.0,C,0.24475524475524477,7.388372785592618,0.3431891995012669,20,3,0,0.24705882352941178,0.27149321266968324
663837,Matt Vierling,R,DET,5,Kai-Wei Teng,R,678906,824257,HOU @ DET,10:10 AM,27/06,Final,0.630592673201915,,,,False,1001010111,live,0,0,0.0,0.15598406368237186,0.25462045230342484,0.3572506824298031,20,1,-0.05331369661266569,1.004,67.6,B,0.3031496062992126,2.3590542389096076,0.3631651369119951,20,6,0,0.22857142857142856,0.17525773195876287
621566,Matt Olson,L,ATL,3,Logan Webb,R,657277,823207,ATL @ SF,6:05 PM,27/06,Game Over,0.630592673201915,-192,144,58.0,False,1110101011,live,0,0,0.0,0.28350078551141344,0.33599966804015063,0.45138839577936346,20,1,0.0188354727745616,0.994,65.9,B,0.2724867724867725,3.706642395064698,0.41559301864042303,12,6,0,0.26277372262773724,0.28160919540229884
671289,Tyler Freeman,R,COL,6,Mike Paredes,R,702474,823689,COL @ MIN,4:10 PM,27/06,Final,0.6297983260479124,-244,180,,True,1101111010,live,0,0,0.0,0.32627178478117863,0.27096794170428157,0.2846141148278702,20,1,-0.10921052631578945,1.022,38.1,D,0.24675324675324675,1.3327290165366907,0.4606036255743357,5,6,0,0.3508771929824561,0.24166666666666667
691406,Junior Caminero,R,TB,3,Jose Cabrera,R,703615,822960,AZ @ TB,3:10 PM,27/06,Final,0.6295740121047383,,,9.0,True,0111001011,live,0,0,0.0,0.3162361710704153,0.3693934557460901,0.6267350783638312,20,1,0.027498212616179962,0.96,61.5,C,0.2903225806451613,,,1,6,0,0.26436781609195403,0.291866028708134
682998,Corbin Carroll,L,AZ,3,Cole Sulser,R,642121,822960,AZ @ TB,3:10 PM,27/06,Final,0.6295740121047383,-220,163,63.0,True,1111011011,live,0,0,0.0,0.2723265996810731,0.35980209113893297,0.4358954124131402,20,1,-0.1743976986695433,0.96,60.0,C,0.24475524475524477,7.388372785592618,0.3431891995012669,20,3,0,0.4074074074074074,0.23300970873786409
660271,Shohei Ohtani,L,LAD,1,Kyle Hart,L,606996,823283,LAD @ SD,5:40 PM,27/06,In Progress,0.6295740121047383,-227,168,99.0,True,0010111011,live,0,0,0.0,0.289761514034905,0.42450966409831054,0.6290716275526336,20,1,-0.06647573108230326,0.954,83.4,A,0.28055555555555556,5.402188065125236,0.3272347243112005,17,4,0,0.24193548387096775,0.308411214953271
