batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,b_hit_rate,b_xba,b_hardhit,b_n_games,b_days_rest,platoon_adv,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_n_games,p_days_rest,is_opener
672960,Kazuma Okamoto,R,TOR,4,Mike Burrows,R,681347,822798,HOU @ TOR,4:07 PM,24/06,Final,0.6573775173569588,-175,131,,False,10111,live,0,0,0.0,0.3142875895793191,0.3542993356762832,0.49126869192847633,20,1,0,0.985,41.9,D,0.26477359938603223,2.3868438214508427,0.38797622571278667,15,5,0
641680,Jonah Heim,L,ATH,5,Tyler Mahle,R,641816,823208,ATH @ SF,6:45 PM,24/06,Final,0.6573557025990544,,,,False,11100,live,0,0,0.0,0.3270804558038568,0.31375275226202476,0.3664560615843087,20,3,1,1.005,55.5,C,0.2781799379524302,2.4643903776138045,0.3703496417261045,11,29,0
807712,Luke Keaschall,R,MIN,1,Shohei Ohtani,R,660271,823691,LAD @ MIN,4:40 PM,24/06,Final,0.6566342592552197,-120,-110,,False,11000,live,0,0,0.0,0.25814888904620814,0.2826385784389977,0.2538813523477549,20,1,0,1.025,88.2,A,0.31338028169014087,3.456057607430827,0.35705158580236923,12,7,0
677588,José Tena,L,WSH,3,Aaron Nola,R,605400,822719,PHI @ WSH,3:45 PM,24/06,Final,0.6561579129989655,,,,True,01001,live,0,0,0.0,0.16491390076325158,0.39447034389140473,0.37195272110943817,20,1,1,1.045,61.5,C,0.2984409799554566,3.086438440362607,0.3933005850175561,15,6,0
693304,Nick Gonzales,R,PIT,4,Bryan Woo,R,693433,823367,SEA @ PIT,3:40 PM,24/06,Final,0.6549122891566314,-234,174,,True,11011,live,0,0,0.0,0.2684946333341102,0.3305401123399453,0.32331898572603057,20,1,0,1.01,63.2,C,0.27153846153846156,6.2646377797369786,0.429944650873064,15,6,0
686611,Dylan Crews,R,WSH,6,Aaron Nola,R,605400,822719,PHI @ WSH,3:45 PM,24/06,Final,0.6546594545944188,-243,179,,False,01111,live,0,0,0.0,0.2325689759385276,0.4031589480612706,0.5013223147134628,20,1,0,1.045,61.5,C,0.2984409799554566,3.086438440362607,0.3933005850175561,15,6,0
805999,A. J. Ewing,L,NYM,2,Javier Assad,R,665871,823613,CHC @ NYM,10:10 AM,24/06,Final,0.653461981879966,,,,True,11010,live,0,0,0.0,0.2310022210050369,0.38627476008834877,0.4104583901802685,20,1,1,0.935,56.1,C,0.23238380809595202,3.475232498137665,0.4350064149228914,11,7,0
592885,Christian Yelich,L,MIL,1,Rhett Lowder,R,695076,824500,MIL @ CIN,4:10 PM,24/06,Final,0.653461981879966,-263,194,,False,11100,live,0,0,0.0,0.21458415047624324,0.3606419113542687,0.3943507870632387,20,2,1,1.0,33.8,F,0.26944140197152244,1.1878110803629596,0.4274294256980982,11,5,0
605141,Mookie Betts,R,LAD,4,Joe Ryan,R,657746,823691,LAD @ MIN,4:40 PM,24/06,Final,0.653461981879966,-223,166,,True,11101,live,0,0,0.0,0.24261145998226358,0.335164593875411,0.3405432077743044,20,1,0,1.025,74.6,B,0.30734966592427615,4.144251610036879,0.44014374080389373,15,6,0
669016,Brandon Marsh,L,PHI,2,Carson Palmquist,R,687223,822719,PHI @ WSH,3:45 PM,24/06,Final,0.653461981879966,,,,True,01011,live,0,0,0.0,0.26562363515466514,0.3519679068027536,0.4208697748091453,20,1,1,1.045,,,,,,0,0,0
